Complexity,Loss,Equation
1,3.1012178459984288,"0.33244682689646465"
2,2.1832015704624714,"cos(x2)"
3,2.1238410191617683,"sinh(cos(x2))"
4,1.8993419504802407,"cos(x2 / x1)"
5,1.7912359901013388,"sinh(cos(x2 / x1))"
15,1.484813192303804,"sinh(cos((-0.090687305 / (-0.12598032 + -1.0734357)) - x2) - ((x1 * x1) * -0.20605555))"
16,1.4265854238743865,"cos(-0.2757131535143203 - x2) - sinh(exp((x1 / ((0.33876696 / x1) / 0.9247428408625004)) * -0.3031793))"
20,1.3583014903350485,"cos(((x2 * 0.07779053733904513) / -0.4213641843590629) - x2) - sinh(exp((x1 / ((0.26239388006400705 / x1) / 0.9595324511469514)) * -0.4175648728802792))"
22,1.2642512179139878,"tanh((x1 - ((0.9137356386687031 - (x1 + -2.747876939069884)) / 1.577186095268217)) + x1) + (((x1 / -0.4383939265493542) + 1.3661565195759964) * (x1 * -0.3193327678855598))"
