Complexity,Loss,Equation
1,3.4989714891766024,"0.19162557930449742"
2,2.7415555788160693,"cos(x2)"
3,1.574331269129682,"x1 * x1"
4,1.1646575851532703,"cosh(x1) + -1.4836555377634253"
5,0.2528961404263903,"cosh(x1) - cosh(x2)"
7,0.22014658347389873,"(cosh(x1) + 0.18096838659112582) - cosh(x2)"
8,0.055066324906321025,"((x1 * x1) + 0.7888674769424108) - cosh(x2)"
10,0.008900776628723675,"(x1 * x1) - (x2 * (tanh(x2) * 1.3869121267818971))"
12,0.0003204850260982285,"(x1 * x1) - (tanh(x2 / 1.5409758949640826) * (x2 * 1.633587764027755))"
