Complexity,Loss,Equation
1,2.8481376168126915,"0.49622835835821644"
2,2.362950007418851,"cos(x2)"
3,1.230307962682707,"x1 * x1"
4,1.2267950015286346,"cosh(x1) - 0.6593856035823487"
5,0.6762496160114461,"(x1 * x1) - 0.7443509559240131"
7,0.6723039286104666,"((x1 - 0.056683941980325406) * x1) + -0.7379964398825407"
8,0.4822452399424349,"sinh(sinh(sinh(cos(x2))) - cos(x1))"
9,0.17531276507043436,"((cos(x2) - cos(x1)) * 2.5892075719415786) + 0.20329083872423204"
17,0.09045313395067099,"((cos(x2) - cos(x1)) * (((cos(x2) - cos(x1)) * 0.4277989710960215) + 2.438026064273562)) + 0.044359561154879115"
