Complexity,Loss,Equation
1,2.589235852397788,"0.07394672275093828"
2,2.134941751483977,"cos(x2)"
3,1.665213063628738,"x1 * x1"
4,1.0873696818539431,"cosh(x1) - 1.22704133261511"
5,0.3589173140544236,"cosh(x1) - cosh(x2)"
7,0.3198958851009302,"cosh(x1) - (cosh(x2) - 0.19753842375448372)"
8,0.3138237853923027,"(cos(x2) * cosh(x1)) - cos(x1)"
10,0.16244739444154405,"sinh((cos(x2) * 1.0439154257919883) - cos(x1)) / 0.5473518008860438"
12,0.03735712456713558,"sinh((cos(x2 / 1.2250620776907093) * 0.923966533818233) - cos(x1)) / 0.4197067462773129"
