Complexity,Loss,Equation
3,2.9798055774897745,"-0.042711306043008074 - x1"
8,2.9794042632808413,"(x2 * tanh(-1.0663848464754686 * 0.16114354858148278)) - x1"
9,2.646088501543976,"(tanh(-1.0663848464754686 * sin(x2)) * x2) - x1"
10,2.565916123413636,"((-1.0663848464754686 * sin(tanh(tanh(x2)))) * x2) - x1"
12,2.2021732507319958,"(sinh(x2 * sin(-1.0663848464754686 * tanh(x2))) - x1) - -0.5575235530919548"
16,2.1576675376220793,"((x2 * sinh(-1.0663848464754686 * sin(tanh(x2 - tanh(exp(x2)))))) - x1) - -0.5575235530919548"
17,2.0594406970688137,"(sinh(x2 * sin(-1.0663848464754686 * tanh(x2 - tanh(exp(x1))))) - x1) - sin(-2.4777191523100974)"
18,1.994511338968558,"(sinh(x2 * sin(tanh((x2 - tanh(exp(x2 / x1))) * -1.0663848464754686))) - x1) - -0.5575235530919548"
